#,Who,=,*,A,B,C,D,E
250,slicedclementines,4276,,442,906,1368,1560,-2
250,Ahmad1,4276,,492,948,1356,1480,-2
252,CHNJZ,4272,,488,940,1332,1512,
252,luqingxin,4272,,484,936,1308,1544,-2
254,mghzzs1997,4270,,494,968,1398,1410,
254,Ahmad,4270,,444,952,1380,1494,
256,zusuyu,4268,,424,924,1344,1576,
256,_no0B,4268,,486,944,1302,1536,-1
258,Firastic,4262,,444,964,1386,1468,-2
259,comfi,4260,,486,940,1338,1496,-2
260,AlmaDeVerde,4256,,492,960,1332,1472,
260,___Johniel,4256,,490,940,1338,1488,
260,hytzongxuan,4256,,492,952,1300,1512,-6
263,OIerC,4248,,488,960,1320,1480,-2
263,*zetamoo,4248,,432,936,1338,1542,
265,yswness,4246,+2,484,928,1284,1350,
266,*142857,4244,,482,924,1326,1512,
267,taew,4242,,422,944,1350,1526,-2
267,flaviu2001,4242,+3,444,804,1368,1326,-2
269,ViciousCoder,4240,+1,492,910,1338,1400,
270,dhruvsomani,4238,,490,808,1240,,1700
271,YouKn0wWho,4232,,492,956,1320,1464,-4
271,savsmail,4232,,482,944,1294,1512,-3
273,SAeed,4228,,490,892,1398,1448,
274,eidan,4226,,434,928,1344,1520,
275,stefdasca,4224,+1,494,968,1410,1302,-2
276,_HYX_,4222,,494,940,1332,1456,-4
276,KKOOPP,4222,,436,944,1332,1510,
278,balalaika,4220,,492,960,1272,1496,-1
279,zeyad_khattab,4218,,494,960,1398,1366,-1
280,l-yc,4216,,490,956,1350,1420,-1
281,BLUESKY007,4210,,488,936,1332,1454,
282,Fly_37,4206,,486,948,1276,1496,
282,seica,4206,,434,948,1380,1444,-3
284,code_kit,4204,,436,882,1350,1536,
285,torus711,4202,,476,912,1326,1488,-5
286,ernestvw,4198,,440,964,1308,1486,-4
287,raresdanut,4194,,436,932,1338,1488,-2
288,*Hiasat,4192,,494,964,1404,-3,1330
289,Connected_failed,4190,,490,882,1314,1504,
289,IceWiz,4190,,484,952,1344,1410,-4
289,vampire_slayer,4190,,494,956,1350,1390,
292,vebgor,4188,,492,940,1260,1496,
293,jaguar1996,4186,-2,492,932,1270,1592,
293,cloudsky01,4186,,428,920,1308,,1530
293,dhirajfx3,4186,,442,960,1362,1422,-4
296,Mitsuhaw,4180,,492,948,1350,1390,-1
296,Thesedays_,4180,,492,932,1350,1406,-1
298,popabogdannnn,4176,,490,956,1266,1464,
298,bigChungus_,4176,,436,944,1332,1464,-1
300,caidodo0_0,4172,,490,948,1246,1488,-1
300,AM.,4172,,480,944,1326,1422,
302,Rayment,4166,,488,878,1314,1486,-2
303,STommydx,4164,,486,920,1302,1456,-1
304,Rakan_Xayan,4162,,490,948,1350,1374,-2
304,vhnvn,4162,,382,904,1308,1568,-20
306,SuperSodaSea,4160,,492,948,1356,1364,-3
307,achi_basadzishvili,4158,+3,492,948,1338,1080,
308,ilovekidneystone,4156,,488,944,1332,1392,-4
308,Louhc,4156,,482,924,1320,1430,
308,Amori,4156,,488,952,1326,1390,-1
311,shourov.sust,4154,,490,956,1356,1352,
311,jeong,4154,,438,952,1374,1390,-3
311,makecir,4154,,490,952,1332,1380,
311,kristevalex,4154,,488,940,1326,1400,
315,AQT,4152,,430,940,1362,-4,1420
316,KOPAVVOBAR_KAnN6APA,4150,,494,948,1344,1364,-2
316,b1z1da,4150,,488,870,1332,-2,1460
318,When,4146,,372,924,1270,,1580
318,hagikaze,4146,,394,796,1374,1582,-6
320,njw1204,4144,+1,494,952,1302,1296,
320,hirokazu1020,4144,,462,884,1416,1382,-1
322,plcherrim,4140,,486,940,1362,1352,
322,bgrm,4140,,488,952,1260,1440,
322,Taran_1407,4140,,492,848,1380,1420,-1
322,guille,4140,,422,920,1302,1496,
326,frogcatcher,4136,,492,824,1308,1512,
326,redotter,4136,-2,494,956,1338,1448,
328,artemx,4134,,494,894,1290,1456,-1
328,*mbrc,4134,,-1,540,834,1330,1430
330,abhayps,4132,+1,490,898,1276,1368,-1
330,caeious,4132,,424,770,1434,1504,-1
330,youx,4132,,488,948,1240,1456,-3
330,siddharthnohria,4132,+1,484,944,1320,1284,
330,peti1234,4132,,492,882,1302,1456,
335,dened,4130,,488,940,1302,1400,
335,techid2000,4130,,482,932,1302,1414,-1
337,heskall,4128,,492,948,1350,1338,
338,FoolishMe,4126,,490,932,1272,1432,
339,xuzijian629,4124,,496,964,1332,1332,-6
339,Junakson,4124,,494,960,1314,1356,-5
339,imnotreal,4124,,436,952,1240,1496,
342,arman_ferdous,4122,,466,888,1440,1328,
342,wYN5CgRn,4122,,488,936,1290,1408,
342,skarlord,4122,+1,480,936,1206,1400,
345,enochjung,4118,,462,888,1272,1496,-2
346,yakamoto,4116,,492,956,1332,1336,
346,crypt1k,4116,+3,438,952,1290,1136,
346,Maho,4116,,436,952,1380,1348,
346,fengyecong,4116,,488,920,1416,1292,-3
350,guestcheap,4114,,482,874,1338,,1420
350,Shavkat_Aminov,4114,+2,472,876,1242,1324,
352,Osama_Alkhodairy,4110,,494,968,1404,1244,
352,fragusbot,4110,,436,952,1380,1342,-1
354,kuuso,4108,,492,940,1332,1344,
355,shijk,4104,,466,908,1290,1440,-1
355,gleb.astashkin,4104,,444,912,1392,1356,-1
355,RockyB,4104,-2,426,924,1384,-4,1470
358,Thomas_94,4100,,486,940,1228,1446,
359,dcordb,4098,,490,956,1220,1432,
360,Journey_Begin,4096,+2,492,960,1374,1070,-5
360,kashkevich,4096,,438,948,1368,1342,
362,k1nval,4090,,492,960,1312,1326,-3
363,ragannito,4086,,490,956,1380,-1,1260
364,Shaykhutdinov-T-I,4084,,490,944,1350,,1300
364,irri,4084,,480,912,1260,1432,-2
366,Anmol17220,4082,,488,960,1326,1308,-1
367,ya_,4078,,436,944,1356,1342,-3
367,rsk0315,4078,,490,940,1272,1376,
369,apoorv024,4076,+1,494,956,1344,1182,
369,badcw,4076,,488,944,1344,1300,-1
369,AboAbdoMC,4076,,484,936,1272,1384,-2
372,DGC,4074,,486,932,1338,1318,
372,notabie,4074,,464,944,1332,1334,
372,nianheng,4074,+1,-1,948,1338,1688,-1
375,*palayutm,4072,,494,968,1380,-3,1230
376,Natori,4066,,494,956,1258,1358,-2
377,Slr2002,4064,,466,944,1302,1352,-1
378,abaab,4062,,494,968,1386,1214,
378,manu_sy,4062,,488,932,1290,1352,
380,Zlatan,4058,,476,836,1290,1456,
380,2683331518,4058,,480,936,1242,1400,
380,fold,4058,,404,868,1306,1480,-1
383,arnold518,4056,+3,384,932,1284,1156,
383,abood303,4056,,416,948,1172,1520,-3
383,Seeht,4056,,492,956,1386,1222,
386,Naumtsev,4054,,488,940,1266,1360,
387,FlyInTheSky,4052,,492,952,1296,1312,
387,MarV,4052,,388,792,1218,1654,-1
389,MDvedh,4050,,436,940,1338,1336,
389,Dragon_fxl,4050,,488,854,1260,1448,-1
391,_Dispwnl,4048,+1,468,968,1302,1210,
391,sam721,4048,,488,948,1260,1352,
393,x_faraway_x,4040,+2,428,912,1296,1204,
394,forgottencsc,4038,,492,878,1326,1342,-4
394,YuliaY,4038,,490,948,1248,1352,
396,Performer.S,4036,,490,944,1356,1246,
397,VCT,4030,,422,940,1308,1360,-4
397,*fedimser,4030,,428,924,1332,1346,-3
399,Cipri321,4026,,428,924,1290,1384,
400,KeyurJain,4024,,336,956,1392,1340,-4
400,bukefala,4024,,262,932,1344,1486,-3
402,*ae04071,4022,,388,856,-1,1568,1210
403,hankeke,4020,,488,920,1302,1310,
403,VIProgrammer,4020,,486,916,1266,1352,-1
403,liu_zhan,4020,,490,952,-1,1388,1190
403,---Grigor---,4020,,440,920,1302,1358,
407,hackerwizard,4018,,490,940,1326,1262,-1
408,zzzzzy,4016,,438,878,1308,1392,-3
409,Akel,4014,+2,196,948,1344,1326,
409,M..K,4014,,436,856,1332,1390,
409,22momo,4014,,440,948,1266,1360,-1
412,eom,4010,,486,944,1252,1328,-3
412,_Kanna_,4010,,496,972,1416,1126,-5
414,nikolapesic2802,4002,,270,902,1386,1444,-7
414,Suunn,4002,,434,924,1332,1312,
416,stratoes,4000,,484,878,1296,1342,-2
417,ACoder_NWPU,3996,,424,850,1290,1432,-1
417,poirin,3996,,486,920,1230,1360,
419,Ahmed_AIansary,3994,,486,920,1368,1220,-3
419,saeed_odak,3994,,424,856,1314,1400,
419,T-D-K,3994,,490,932,1278,1294,
419,MadPidgeon,3994,,486,874,1260,1374,
423,Silent_coder,3992,,434,928,1222,1408,-1
423,vsriram1012,3992,,494,968,1374,1156,-1
425,daochuanDD,3990,,486,936,1320,1248,
426,holmium01,3986,,436,928,1302,1320,-1
426,Igor_Zakharov,3986,,368,892,1278,1448,-1
428,Ventus,3984,,430,928,1290,1336,-1
429,nadyushka228,3980,,492,952,1314,1222,
429,XIZCM,3980,,434,866,1248,1432,
431,Baneling2,3978,,458,850,1440,-1,1230
432,Huyyt,3976,,480,896,1266,1334,
433,sekiya9311,3974,,492,928,1308,1246,-2
433,RiverHamster,3974,,458,888,1284,1344,
433,haosc1212,3974,,492,944,1308,1230,
433,Dishant_18,3974,,436,924,1302,1312,
437,Wandoka,3972,,492,932,1272,1276,
437,Bjorneer,3972,,434,932,1230,1376,
437,wolf3000,3972,,488,936,1236,1312,
437,leoniduvk,3972,,488,944,1344,1196,
437,llamaoo7,3972,,488,952,1260,1272,
442,creepy_crap,3968,,492,956,1320,1200,-2
442,Ilya-bar,3968,,494,910,1236,1328,
444,T1duS399,3966,+1,496,976,1416,978,-1
444,Obada-AlAbbadi,3966,,436,944,1290,1296,
446,LinGSong_sAdBoY,3964,,436,824,1320,1384,-2
447,showmic96,3962,,482,884,1212,1384,-1
447,zunda1st,3962,,486,912,1260,1304,
449,Moseshiga,3960,,490,960,1326,1184,-2
449,Sheoran_Jitu,3960,,490,948,1308,1214,-1
451,reiva5,3958,,494,910,1266,1288,-4
452,zhishou,3956,,432,916,1248,1360,-3
452,nkb,3956,,494,960,1158,1344,-3
454,mohamedeltair,3952,,442,860,1386,1264,
455,justin_cao,3948,,494,952,1344,1158,
456,luka_bur3k,3944,,488,956,1344,1156,-1
457,luchy0120,3942,,468,900,1230,1344,-3
458,I_love_Inori_Yuzuriha,3940,,490,956,1016,1478,
458,SongC,3940,,492,956,1338,1154,
458,givingmybest,3940,+1,486,912,1236,1256,
458,Zzzyt,3940,,488,916,1200,1336,
462,DanShaders,3938,,492,898,1350,1198,
463,DoomzGay,3932,+1,338,890,1344,-3,1260
463,temp06,3932,,436,886,1320,1290,
463,lsr10122018,3932,,488,936,1260,1248,
466,Moonlit,3930,+1,432,896,1230,1272,
467,Zhoushang2003,3928,,230,944,1338,1416,-1
468,wery0,3926,,494,968,1144,1320,-1
469,zhangqingqi,3924,,440,806,1248,-5,1430
469,dorijanlendvaj,3924,+1,386,948,1434,1106,
469,lbjlc,3924,,424,920,1246,1334,-1
472,DiamondJ,3920,,382,928,1308,1302,-1
473,Hoda_Hisham,3916,,486,948,1218,1264,-1
474,RubenAshughyan,3910,,428,932,1110,1440,
474,TinyDumpling,3910,,482,932,1314,1182,-1
476,daniel071292,3908,-1,490,960,1278,1230,
477,sean617,3906,,372,960,1332,1242,
477,sempav,3906,,480,922,1326,1178,-1
479,domen111,3902,,488,908,1254,1252,
479,yangyuchen,3902,,488,932,1212,1270,
479,igoroogle,3902,,428,916,1254,1304,
482,gozssky,3890,,488,924,1290,1188,-1
483,aymanrasheed7,3888,,486,874,1290,1238,
483,GMPotlc,3888,,488,948,1374,1078,-6
485,rajarshi_basu,3886,,436,956,1368,1126,-5
486,mh755628,3884,,436,936,1308,1204,
486,HanaYukii,3884,,490,774,1284,1336,
488,slava812,3882,,484,912,1230,1256,
489,I-Love-Islam,3880,,486,948,1294,1152,-4
490,FThiesen,3878,,490,726,1230,1432,-4
490,ashish11,3878,,436,944,1290,1208,
490,greelio,3878,,488,948,1308,1134,
493,zal.v,3876,,376,928,1332,-2,1240
494,pf4070,3874,,492,944,1150,1288,
494,netszxb,3874,,468,818,1236,1352,-2
494,teo,3874,,490,960,1324,,1100
494,15owzLy1,3874,+2,288,886,1326,1174,
498,*Akulyat,3868,,494,968,1410,996,
498,Damur,3868,,386,960,1194,1328,
500,omaewamoushindeiruuuuuuu,3866,+2,402,912,1248,1104,
500,Astrea,3866,,154,804,1116,1792,
502,rdd6584,3862,,492,956,1318,1096,-1
502,LockHeart,3862,,364,846,1116,1536,-1
504,Ferume,3860,,332,896,1248,1384,
504,SCube_,3860,,488,874,1002,1496,
506,Sheryang,3858,,484,924,1284,1166,-4
506,Renaats,3858,,496,864,1410,1088,-13
508,StillANoob,3852,,290,940,1230,1392,
509,rzy_99,3844,,484,924,1278,1158,
509,__Ezio__,3844,,488,912,1222,1222,
511,ifvisit,3840,,480,916,1284,,1160
511,jarakcyc,3840,,494,964,1392,990,
513,Karasick,3838,,442,902,1350,1144,
513,Vax,3838,,496,980,1068,1294,
515,conanjinming,3828,,486,940,1302,1100,-1
516,EmCoderixinho,3824,,480,932,1158,1254,
517,Thaid,3822,,434,936,1290,1162,
518,YuGo,3820,+1,438,936,1248,1148,
518,Nazarbek_Baltabaev,3820,,378,892,1368,1182,
520,agrbin,3818,,432,936,1260,1190,
520,rahulb,3818,,436,932,1308,1142,-1
522,mindrolin,3816,,432,932,1284,1168,-1
522,leehosu01,3816,+2,372,872,1230,1142,
522,RedStar_13,3816,,430,932,1194,-4,1260
525,quackdratic,3814,,436,882,1246,,1250
525,M3hran,3814,,436,882,1224,1272,-3
527,Volodya22,3810,,440,932,1266,1172,
527,leigehhh,3810,,486,886,1302,1136,
527,gaurav172,3810,,438,948,1278,1146,
530,qem,3808,,482,884,1212,1230,-1
531,binarycopycode,3806,,488,944,1332,1042,
532,I_love_Malika,3804,-1,436,924,1224,1270,-1
533,HFUU-QerM,3802,,490,940,1254,1118,
534,ZYehia,3800,,472,900,1188,1240,
534,Huah,3800,,486,928,1224,1162,-1
536,BThero.03,3798,,422,698,1354,1324,-2
537,PetarMihalj,3794,,436,944,1338,1076,
538,Alance,3788,,436,940,1362,1050,-2
539,cjc,3786,,416,900,1224,1246,
540,MiaoYao,3784,,488,896,1260,1140,
541,jdurie,3782,,490,944,1264,1084,
541,*I_love_fake123,3782,,496,980,1140,1166,
543,amanchik,3780,,470,888,1168,1254,-2
544,-Bata,3778,,368,884,1254,1272,
545,LongChampion,3772,,486,838,1168,1280,
545,Zechariah_2001,3772,,488,884,1266,1134,
547,Adhami,3770,,490,960,1350,970,-2
548,RoadToVseross,3768,,490,916,1242,1120,
549,fluffyowl,3766,,-1,964,1374,1428,-1
