2019-01-21 16:41:33.511780
#,Who,=,*,A,B,C,D,E
347,MadPidgeon,3994,,486,874,1260,1374,
347,Ahmed_AIansary,3994,,486,920,1368,1220,-3
351,Silent_coder,3992,,434,928,1222,1408,-1
351,vsriram1012,3992,,494,968,1374,1156,-1
353,daochuanDD,3990,,486,936,1320,1248,
354,holmium01,3986,,436,928,1302,1320,-1
354,Igor_Zakharov,3986,,368,892,1278,1448,-1
356,Ventus,3984,,430,928,1290,1336,-1
357,XIZCM,3980,,434,866,1248,1432,
357,nadyushka228,3980,,492,952,1314,1222,
359,Baneling2,3978,,458,850,1440,-1,1230
360,Huyyt,3976,,480,896,1266,1334,
361,sekiya9311,3974,,492,928,1308,1246,-2
361,haosc1212,3974,,492,944,1308,1230,
361,RiverHamster,3974,,458,888,1284,1344,
361,Dishant_18,3974,,436,924,1302,1312,
365,Wandoka,3972,,492,932,1272,1276,
365,Bjorneer,3972,,434,932,1230,1376,
365,llamaoo7,3972,,488,952,1260,1272,
365,leoniduvk,3972,,488,944,1344,1196,
369,Ilya-bar,3968,,494,910,1236,1328,
369,creepy_crap,3968,,492,956,1320,1200,-2
371,T1duS399,3966,+1,496,976,1416,978,-1
371,Obada-AlAbbadi,3966,,436,944,1290,1296,
373,LinGSong_sAdBoY,3964,,436,824,1320,1384,-2
374,showmic96,3962,,482,884,1212,1384,-1
374,zunda1st,3962,,486,912,1260,1304,
376,Sheoran_Jitu,3960,,490,948,1308,1214,-1
376,Moseshiga,3960,,490,960,1326,1184,-2
378,reiva5,3958,,494,910,1266,1288,-4
379,zhishou,3956,,432,916,1248,1360,-3
379,nkb,3956,,494,960,1158,1344,-3
381,mohamedeltair,3952,,442,860,1386,1264,
382,justin_cao,3948,,494,952,1344,1158,
383,luka_bur3k,3944,,488,956,1344,1156,-1
384,luchy0120,3942,,468,900,1230,1344,-3
385,I_love_Inori_Yuzuriha,3940,,490,956,1016,1478,
385,Zzzyt,3940,,488,916,1200,1336,
385,SongC,3940,,492,956,1338,1154,
385,givingmybest,3940,+1,486,912,1236,1256,
389,DanShaders,3938,,492,898,1350,1198,
390,temp06,3932,,436,886,1320,1290,
390,lsr10122018,3932,,488,936,1260,1248,
390,DoomzGay,3932,+1,338,890,1344,-3,1260
393,Moonlit,3930,+1,432,896,1230,1272,
394,Zhoushang2003,3928,,230,944,1338,1416,-1
395,wery0,3926,,494,968,1144,1320,-1
396,zhangqingqi,3924,,440,806,1248,-5,1430
396,dorijanlendvaj,3924,+1,386,948,1434,1106,
396,lbjlc,3924,,424,920,1246,1334,-1
399,DiamondJ,3920,,382,928,1308,1302,-1
400,Hoda_Hisham,3916,,486,948,1218,1264,-1
401,TinyDumpling,3910,,482,932,1314,1182,-1
401,RubenAshughyan,3910,,428,932,1110,1440,
403,daniel071292,3908,-1,490,960,1278,1230,
404,sempav,3906,,480,922,1326,1178,-1
405,yangyuchen,3902,,488,932,1212,1270,
405,igoroogle,3902,,428,916,1254,1304,
405,domen111,3902,,488,908,1254,1252,
408,gozssky,3890,,488,924,1290,1188,-1
409,aymanrasheed7,3888,,486,874,1290,1238,
410,rajarshi_basu,3886,,436,956,1368,1126,-5
411,mh755628,3884,,436,936,1308,1204,
412,slava812,3882,,484,912,1230,1256,
413,I-Love-Islam,3880,,486,948,1294,1152,-4
414,FThiesen,3878,,490,726,1230,1432,-4
414,ashish11,3878,,436,944,1290,1208,
414,greelio,3878,,488,948,1308,1134,
417,zal.v,3876,,376,928,1332,-2,1240
418,teo,3874,,490,960,1324,,1100
418,15owzLy1,3874,+2,288,886,1326,1174,
418,netszxb,3874,,468,818,1236,1352,-2
421,Damur,3868,,386,960,1194,1328,
422,omaewamoushindeiruuuuuuu,3866,+2,402,912,1248,1104,
422,Astrea,3866,,154,804,1116,1792,
424,rdd6584,3862,,492,956,1318,1096,-1
424,LockHeart,3862,,364,846,1116,1536,-1
426,Ferume,3860,,332,896,1248,1384,
426,SCube_,3860,,488,874,1002,1496,
428,Sheryang,3858,,484,924,1284,1166,-4
428,Renaats,3858,,496,864,1410,1088,-13
430,StillANoob,3852,,290,940,1230,1392,
431,__Ezio__,3844,,488,912,1222,1222,
432,ifvisit,3840,,480,916,1284,,1160
432,jarakcyc,3840,,494,964,1392,990,
434,Karasick,3838,,442,902,1350,1144,
434,Vax,3838,,496,980,1068,1294,
436,conanjinming,3828,,486,940,1302,1100,-1
437,EmCoderixinho,3824,,480,932,1158,1254,
438,Thaid,3822,,434,936,1290,1162,
439,YuGo,3820,+1,438,936,1248,1148,
439,Nazarbek_Baltabaev,3820,,378,892,1368,1182,
441,agrbin,3818,,432,936,1260,1190,
441,rahulb,3818,,436,932,1308,1142,-1
443,leehosu01,3816,+2,372,872,1230,1142,
443,RedStar_13,3816,,430,932,1194,-4,1260
443,mindrolin,3816,,432,932,1284,1168,-1
446,quackdratic,3814,,436,882,1246,,1250
446,M3hran,3814,,436,882,1224,1272,-3
448,Volodya22,3810,,440,932,1266,1172,
448,gaurav172,3810,,438,948,1278,1146,
450,qem,3808,,482,884,1212,1230,-1
451,binarycopycode,3806,,488,944,1332,1042,
452,I_love_Malika,3804,-1,436,924,1224,1270,-1
453,HFUU-QerM,3802,,490,940,1254,1118,
454,ZYehia,3800,,472,900,1188,1240,
454,Huah,3800,,486,928,1224,1162,-1
456,BThero.03,3798,,422,698,1354,1324,-2
457,PetarMihalj,3794,,436,944,1338,1076,
458,Alance,3788,,436,940,1362,1050,-2
459,cjc,3786,,416,900,1224,1246,
460,MiaoYao,3784,,488,896,1260,1140,
461,jdurie,3782,,490,944,1264,1084,
462,amanchik,3780,,470,888,1168,1254,-2
463,-Bata,3778,,368,884,1254,1272,
464,LongChampion,3772,,486,838,1168,1280,
464,Zechariah_2001,3772,,488,884,1266,1134,
466,Adhami,3770,,490,960,1350,970,-2
467,RoadToVseross,3768,,490,916,1242,1120,
468,fluffyowl,3766,,-1,964,1374,1428,-1
469,dvdg6566,3764,,438,894,1140,1292,
470,mai,3762,,308,868,1194,1392,-1
471,PopescuMihai,3756,,492,882,1212,1170,-5
471,Si_Ru,3756,,398,828,1146,1384,-2
473,Zeroth,3754,,486,944,1332,992,
473,Zygis0321,3754,,492,940,1074,1248,
475,HadyKo,3750,,490,932,1258,1070,
476,Prostoegor239,3746,,382,948,1278,1138,
477,DRA,3744,,212,948,1374,1210,-4
478,Gudleyd,3738,,492,952,934,1360,-1
479,DP99,3736,,486,908,1174,1168,
480,kzvd4729,3734,,314,900,1168,1352,
481,kenimo,3732,,450,864,1206,1212,
481,filo,3732,,488,944,1278,1022,
483,atodo,3730,,440,940,1368,982,
484,Kush.code,3728,,256,876,1212,1384,
485,_zay,3726,,446,844,1164,1272,
485,Riqirez,3726,,494,960,852,1420,
485,wolfib,3726,,482,924,1200,1120,
485,katana_handler,3726,,-1,960,1320,1446,
489,tgudlek,3722,,430,920,1150,1222,
490,neTpyLUKa,3718,,388,948,1134,1248,
490,cjrzn,3718,,490,886,1216,1126,
490,DimmyT,3718,+1,308,964,1410,936,-1
490,Narut,3718,,488,948,1076,1206,
494,Enigma27,3716,,380,940,1146,,1250
494,MikanHako1024,3716,,468,900,1200,1148,
496,D42,3714,,374,924,1168,1248,
496,IAmBatyrkulov,3714,,494,968,1332,920,
498,13arman80,3710,,486,878,1312,1034,
498,zhsq11,3710,,484,862,1254,1110,
498,zyt1253679098,3710,,486,916,1206,1102,
501,yclrz,3708,,492,886,1362,968,-1
501,_23333,3708,,436,880,-1,1112,1280
501,Drand,3708,,488,936,1284,1000,
504,pill,3706,,482,882,1302,1040,
505,gs15120,3704,,494,912,1236,1062,-1
506,qwerE,3700,,398,734,1248,1320,
507,Excogitatoris,3698,,426,904,1200,1168,
508,_Mugiwara_,3696,,488,944,904,1360,
509,osmanorman,3694,,212,984,1248,-3,1250
509,Dmaxiya,3694,,434,936,1266,1058,
509,LuckyAurora,3694,,488,952,1178,1076,
512,PolarisChiba,3692,,426,878,1128,1260,
512,Pxt,3692,,400,792,1188,1312,-1
514,Vovuh,3690,,494,964,1398,834,-3
515,saxin,3686,,426,932,1288,1040,
516,Forsaken_,3684,,484,932,1194,1074,
516,SJoshua,3684,,488,920,786,-1,1490
518,grol666,3682,,488,948,1332,914,
519,xiaoqiang200015,3680,,484,924,1162,1110,
519,madhav_1999,3680,,440,956,1276,1008,
521,ys98,3678,,488,912,1266,1012,
522,PuffyShoggoth,3676,,476,888,1176,1136,
